date,season,stage,round,is_playoff,home_team,away_team,home_goals,away_goals,home_ht_goals,away_ht_goals,source
2019-02-03,2018-19,Clausura,5,False,Lobos BUAP,Pachuca,1.0,1.0,0.0,0.0,footballcsv
2019-02-04,2018-19,Clausura,5,False,Guadalajara,Veracruz,0.0,0.0,0.0,0.0,footballcsv
2019-02-08,2018-19,Clausura,6,False,Atlas,Puebla,1.0,2.0,1.0,1.0,footballcsv
2019-02-08,2018-19,Clausura,6,False,Veracruz,Tigres UANL,0.0,2.0,0.0,0.0,footballcsv
2019-02-09,2018-19,Clausura,6,False,Pachuca,Monarcas Morelia,2.0,0.0,0.0,0.0,footballcsv
2019-02-09,2018-19,Clausura,6,False,Monterrey,Lobos BUAP,4.0,0.0,2.0,0.0,footballcsv
2019-02-09,2018-19,Clausura,6,False,Querétaro,Pumas UNAM,0.0,2.0,0.0,1.0,footballcsv
2019-02-09,2018-19,Clausura,6,False,América,León,0.0,3.0,0.0,1.0,footballcsv
2019-02-09,2018-19,Clausura,6,False,Necaxa,Guadalajara,3.0,3.0,0.0,1.0,footballcsv
2019-02-10,2018-19,Clausura,6,False,Toluca,Cruz Azul,1.0,1.0,0.0,1.0,footballcsv
2019-02-10,2018-19,Clausura,6,False,Santos Laguna,Tijuana,1.0,1.0,0.0,1.0,footballcsv
2019-02-15,2018-19,Clausura,7,False,Monarcas Morelia,Monterrey,2.0,3.0,1.0,1.0,footballcsv
2019-02-15,2018-19,Clausura,7,False,Puebla,Pachuca,1.0,1.0,0.0,1.0,footballcsv
2019-02-15,2018-19,Clausura,7,False,Tijuana,Veracruz,3.0,0.0,2.0,0.0,footballcsv
2019-02-16,2018-19,Clausura,7,False,Tigres UANL,Necaxa,3.0,2.0,1.0,0.0,footballcsv
2019-02-16,2018-19,Clausura,7,False,León,Toluca,3.0,0.0,0.0,0.0,footballcsv
2019-02-16,2018-19,Clausura,7,False,Cruz Azul,Santos Laguna,1.0,2.0,1.0,1.0,footballcsv
2019-02-16,2018-19,Clausura,7,False,Guadalajara,Atlas,3.0,0.0,2.0,0.0,footballcsv
2019-02-17,2018-19,Clausura,7,False,Lobos BUAP,Querétaro,3.0,1.0,1.0,1.0,footballcsv
2019-02-17,2018-19,Clausura,7,False,Pumas UNAM,América,1.0,0.0,0.0,0.0,footballcsv
2019-02-22,2018-19,Clausura,8,False,Atlas,Tigres UANL,0.0,1.0,0.0,0.0,footballcsv
2019-02-22,2018-19,Clausura,8,False,Veracruz,Cruz Azul,1.0,1.0,1.0,0.0,footballcsv
2019-02-23,2018-19,Clausura,8,False,Querétaro,Monarcas Morelia,3.0,0.0,0.0,0.0,footballcsv
2019-02-23,2018-19,Clausura,8,False,América,Lobos BUAP,3.0,0.0,1.0,0.0,footballcsv
2019-02-23,2018-19,Clausura,8,False,Monterrey,Puebla,0.0,0.0,0.0,0.0,footballcsv
2019-02-23,2018-19,Clausura,8,False,Necaxa,Tijuana,1.0,2.0,0.0,0.0,footballcsv
2019-02-23,2018-19,Clausura,8,False,Pachuca,Guadalajara,3.0,1.0,1.0,1.0,footballcsv
2019-02-24,2018-19,Clausura,8,False,Pumas UNAM,León,1.0,3.0,0.0,2.0,footballcsv
2019-02-24,2018-19,Clausura,8,False,Santos Laguna,Toluca,4.0,0.0,3.0,0.0,footballcsv
2019-03-01,2018-19,Clausura,9,False,Tijuana,Atlas,3.0,1.0,2.0,0.0,footballcsv
2019-03-01,2018-19,Clausura,9,False,Monarcas Morelia,América,2.0,2.0,1.0,0.0,footballcsv
2019-03-02,2018-19,Clausura,9,False,Guadalajara,Monterrey,0.0,2.0,0.0,1.0,footballcsv
2019-03-02,2018-19,Clausura,9,False,Tigres UANL,Pachuca,3.0,0.0,3.0,0.0,footballcsv
2019-03-02,2018-19,Clausura,9,False,Cruz Azul,Necaxa,2.0,1.0,0.0,1.0,footballcsv
