date,season,stage,round,is_playoff,home_team_raw,away_team_raw,home_goals,away_goals,home_ht_goals,away_ht_goals,source,home_team,away_team
2018-11-10,2018-19,Apertura,16,False,Cruz Azul,Lobos BUAP,2.0,1.0,2.0,1.0,footballcsv,Cruz Azul,Lobos BUAP
2018-11-10,2018-19,Apertura,16,False,Club León,Deportivo Guadalajara,0.0,1.0,0.0,0.0,footballcsv,León,Guadalajara
2018-11-11,2018-19,Apertura,16,False,Santos Laguna,CF América,1.0,1.0,0.0,0.0,footballcsv,Santos Laguna,América
2018-11-11,2018-19,Apertura,16,False,Deportivo Toluca,Pumas UNAM,0.0,1.0,0.0,1.0,footballcsv,Toluca,Pumas UNAM
2018-11-23,2018-19,Apertura,17,False,Puebla FC,Club Tijuana,0.0,0.0,0.0,0.0,footballcsv,Puebla,Tijuana
2018-11-23,2018-19,Apertura,17,False,Monarcas Morelia,Cruz Azul,0.0,2.0,0.0,0.0,footballcsv,Monarcas Morelia,Cruz Azul
2018-11-24,2018-19,Apertura,17,False,Gallos Blancos,Club Necaxa,1.0,0.0,1.0,0.0,footballcsv,Querétaro,Necaxa
2018-11-24,2018-19,Apertura,17,False,CF Pachuca,Club León,1.0,1.0,1.0,1.0,footballcsv,Pachuca,León
2018-11-24,2018-19,Apertura,17,False,CF América,CD Veracruz,4.0,1.0,3.0,1.0,footballcsv,América,Veracruz
2018-11-24,2018-19,Apertura,17,False,Deportivo Guadalajara,UANL Tigres,0.0,1.0,0.0,0.0,footballcsv,Guadalajara,Tigres UANL
2018-11-24,2018-19,Apertura,17,False,CF Monterrey,Atlas Guadalajara,3.0,1.0,1.0,0.0,footballcsv,Monterrey,Atlas
2018-11-25,2018-19,Apertura,17,False,Lobos BUAP,Deportivo Toluca,2.0,0.0,1.0,0.0,footballcsv,Lobos BUAP,Toluca
2018-11-25,2018-19,Apertura,17,False,Pumas UNAM,Santos Laguna,1.0,1.0,0.0,1.0,footballcsv,Pumas UNAM,Santos Laguna
2018-11-28,2018-19,Apertura - Liguilla,Quarterfinals,True,CF Monterrey,Santos Laguna,1.0,0.0,0.0,0.0,footballcsv,Monterrey,Santos Laguna
2018-11-28,2018-19,Apertura - Liguilla,Quarterfinals,True,Gallos Blancos,Cruz Azul,0.0,2.0,0.0,1.0,footballcsv,Querétaro,Cruz Azul
2018-11-29,2018-19,Apertura - Liguilla,Quarterfinals,True,UANL Tigres,Pumas UNAM,2.0,1.0,0.0,1.0,footballcsv,Tigres UANL,Pumas UNAM
2018-11-29,2018-19,Apertura - Liguilla,Quarterfinals,True,Deportivo Toluca,CF América,2.0,2.0,1.0,2.0,footballcsv,Toluca,América
